TICKS,CPU%
1695099371.48,700.00
1695099372.98,700.00
1695099374.49,700.00
1695099375.99,700.00
1695099377.49,700.00
1695099378.99,700.00
1695099380.50,700.00
1695099382.00,700.00
1695099383.50,700.00
1695099385.00,700.00
1695099386.51,700.00
1695099388.01,700.00
1695099389.51,700.00
1695099391.01,700.00
1695099392.52,700.00
1695099394.02,700.00
1695099395.52,700.00
1695099397.02,700.00
1695099398.53,700.00
1695099400.03,700.00
1695099401.53,700.00
1695099403.03,700.00
1695099404.54,700.00
1695099406.04,700.00
1695099407.54,700.00
1695099409.04,700.00
1695099410.55,700.00
1695099412.05,700.00
1695099413.55,700.00
1695099415.05,700.00
1695099416.56,700.00
1695099418.06,700.00
1695099419.56,700.00
1695099421.06,700.00
1695099422.57,700.00
1695099424.07,700.00
1695099425.57,700.00
1695099427.07,700.00
1695099428.58,700.00
1695099430.08,700.00
1695099431.58,700.00
1695099433.08,700.00
1695099434.59,700.00
1695099436.09,700.00
1695099437.59,700.00
1695099439.09,700.00
1695099440.60,700.00
1695099442.10,700.00
1695099443.60,700.00
1695099445.10,700.00
1695099446.60,700.00
1695099448.11,700.00
1695099449.61,700.00
1695099451.11,700.00
1695099452.62,700.00
1695099454.12,700.00
1695099455.62,700.00
1695099457.12,700.00
1695099458.63,700.00
1695099460.13,700.00
1695099461.63,700.00
1695099463.13,700.00
1695099464.64,700.00
1695099466.14,700.00
1695099467.64,700.00
1695099469.14,700.00
1695099470.65,700.00
1695099472.15,700.00
1695099473.65,700.00
1695099475.15,700.00
1695099476.65,700.00
1695099478.16,700.00
1695099479.66,700.00
1695099481.16,700.00
1695099482.67,700.00
1695099484.17,700.00
1695099485.67,700.00
1695099487.17,700.00
1695099488.67,700.00
1695099490.18,700.00
1695099491.68,700.00
1695099493.18,700.00
1695099494.68,700.00
1695099496.19,700.00
1695099497.69,700.00
1695099499.19,700.00
1695099500.69,700.00
1695099502.20,700.00
1695099503.70,700.00
1695099505.20,700.00
1695099506.70,700.00
1695099508.21,700.00
1695099509.71,700.00
1695099511.21,700.00
1695099512.71,700.00
1695099514.22,700.00
1695099515.72,700.00
1695099517.22,700.00
1695099518.72,700.00
1695099520.23,700.00
1695099521.73,700.00
1695099523.23,700.00
1695099524.73,700.00
1695099526.24,700.00
1695099527.74,700.00
1695099529.24,700.00
1695099530.74,700.00
1695099532.25,700.00
1695099533.75,700.00
1695099535.25,700.00
1695099536.75,700.00
1695099538.26,700.00
1695099539.76,700.00
1695099541.26,700.00
1695099542.76,700.00
1695099544.27,700.00
1695099545.77,700.00
1695099547.27,700.00
1695099548.77,700.00
1695099550.28,700.00
1695099551.78,700.00
1695099553.28,700.00
1695099554.78,700.00
1695099556.29,700.00
1695099557.79,700.00
1695099559.29,700.00
