TICKS,CPU%
1697885316.84,0.00
1697885318.34,0.00
1697885319.84,2.00
1697885321.34,2.00
1697885322.85,4.00
1697885324.35,0.00
1697885325.85,4.00
1697885327.36,2.00
1697885328.86,2.00
1697885330.36,0.00
1697885331.86,2.00
1697885333.37,2.00
1697885334.87,0.00
1697885336.37,24.50
1697885337.87,0.00
1697885339.38,2.00
1697885340.88,0.00
1697885342.38,4.00
1697885343.88,2.00
1697885345.39,2.00
1697885346.89,0.00
1697885348.39,2.00
1697885349.89,0.00
1697885351.40,0.00
1697885352.90,0.00
1697885354.40,4.00
1697885355.90,0.00
1697885357.41,0.00
1697885358.91,0.00
1697885360.41,0.00
1697885361.92,0.00
1697885363.42,0.00
1697885364.92,0.00
1697885366.42,0.00
1697885367.93,0.00
1697885369.43,6.00
1697885370.93,0.00
1697885372.43,6.00
1697885373.94,0.00
1697885375.44,0.00
1697885376.94,0.00
1697885378.45,2.00
1697885379.95,2.00
1697885381.45,0.00
1697885382.96,2.00
1697885384.46,4.00
1697885385.96,0.00
1697885387.46,2.00
1697885388.97,0.00
1697885390.47,0.00
1697885391.97,0.00
1697885393.47,4.00
1697885394.98,0.00
1697885396.48,0.00
1697885397.98,0.00
1697885399.49,2.00
1697885400.99,0.00
1697885402.49,2.00
1697885403.99,0.00
1697885405.50,2.00
1697885407.00,0.00
1697885408.50,0.00
1697885410.00,2.00
1697885411.51,0.00
1697885413.01,2.00
1697885414.51,4.00
1697885416.01,0.00
1697885417.52,4.00
1697885419.02,4.00
1697885420.52,0.00
1697885422.02,0.00
1697885423.53,2.00
1697885425.03,0.00
1697885426.53,2.00
1697885428.04,0.00
1697885429.54,0.00
1697885431.04,0.00
1697885432.54,2.00
1697885434.05,0.00
1697885435.55,2.00
1697885437.05,0.00
1697885438.55,4.00
1697885440.06,2.00
1697885441.56,0.00
1697885443.06,0.00
1697885444.57,0.00
1697885446.07,0.00
1697885447.57,2.00
1697885449.07,0.00
1697885450.58,0.00
1697885452.08,4.00
1697885453.58,2.00
1697885455.08,0.00
1697885456.59,0.00
1697885458.09,0.00
1697885459.59,0.00
1697885461.09,0.00
1697885462.60,2.00
1697885464.10,0.00
1697885465.60,2.00
1697885467.10,2.00
1697885468.61,2.00
1697885470.11,2.00
1697885471.61,0.00
1697885473.12,0.00
1697885474.62,2.00
1697885476.12,0.00
1697885477.62,2.00
1697885479.13,0.00
1697885480.63,0.00
1697885482.13,2.00
1697885483.63,0.00
1697885485.14,4.00
1697885486.64,5.80
1697885488.14,0.00
1697885489.64,0.00
1697885491.15,0.00
1697885492.65,4.00
1697885494.15,0.00
1697885495.65,0.00
1697885497.16,2.00
1697885498.66,2.00
1697885500.16,0.00
1697885501.67,2.00
1697885503.17,0.00
1697885504.67,0.00
1697885506.17,0.00
1697885507.68,4.00
1697885509.18,0.00
1697885510.68,0.00
1697885512.18,0.00
1697885513.69,2.00
1697885515.19,2.00
1697885516.69,4.00
1697885518.19,2.00
1697885519.70,2.00
1697885521.20,2.00
1697885522.70,2.00
1697885524.20,2.00
1697885525.71,0.00
1697885527.21,2.00
1697885528.71,2.00
1697885530.22,2.00
1697885531.72,2.00
