TICKS,Net_recv,Net_sent
1697884778.79,174.53,3.99
1697884779.79,174.53,3.99
1697884780.79,174.53,3.99
1697884781.79,174.53,3.99
1697884782.79,174.53,3.99
1697884783.79,174.53,3.99
1697884784.80,174.53,3.99
1697884785.80,174.53,3.99
1697884786.80,174.53,3.99
1697884787.80,174.53,3.99
1697884788.80,174.54,3.99
1697884789.80,174.54,3.99
1697884790.81,174.54,3.99
1697884791.81,174.54,3.99
1697884792.81,174.54,3.99
1697884793.81,174.54,3.99
1697884794.81,174.54,3.99
1697884795.81,174.54,3.99
1697884796.81,174.54,3.99
1697884797.82,174.54,3.99
1697884798.82,174.54,3.99
1697884799.82,174.54,3.99
1697884800.82,174.54,3.99
1697884801.82,174.54,3.99
1697884802.82,174.54,3.99
1697884803.83,174.54,3.99
1697884804.83,174.54,3.99
1697884805.83,174.54,3.99
1697884806.83,174.54,3.99
1697884807.83,174.54,3.99
1697884808.83,174.55,3.99
1697884809.83,174.55,3.99
1697884810.84,174.55,3.99
1697884811.84,174.55,3.99
1697884812.84,174.55,3.99
1697884813.84,174.55,3.99
1697884814.84,174.55,3.99
1697884815.84,174.55,3.99
1697884816.85,174.55,3.99
1697884817.85,174.55,3.99
1697884818.85,174.55,3.99
1697884819.85,174.55,3.99
1697884820.85,174.55,3.99
1697884821.85,174.55,3.99
1697884822.86,174.55,3.99
1697884823.86,174.55,3.99
1697884824.86,174.56,3.99
1697884825.86,174.56,3.99
1697884826.86,174.56,3.99
1697884827.86,174.56,3.99
1697884828.86,174.56,3.99
1697884829.87,174.56,3.99
1697884830.87,174.56,3.99
1697884831.87,174.56,3.99
1697884832.87,174.56,3.99
1697884833.87,174.56,3.99
1697884834.87,174.56,3.99
1697884835.88,174.56,3.99
1697884836.88,174.56,3.99
1697884837.88,174.56,3.99
1697884838.88,174.56,3.99
1697884839.88,174.56,3.99
1697884840.88,174.56,3.99
1697884841.88,174.57,3.99
1697884842.89,174.57,3.99
1697884843.89,174.57,3.99
1697884844.89,174.57,3.99
1697884845.89,174.57,3.99
1697884846.89,174.57,3.99
1697884847.89,174.57,3.99
1697884848.89,174.57,3.99
1697884849.90,174.57,3.99
1697884850.90,174.57,3.99
1697884851.90,174.57,3.99
1697884852.90,174.57,3.99
1697884853.90,174.57,3.99
1697884854.91,174.57,3.99
1697884855.91,174.57,3.99
1697884856.91,174.57,3.99
1697884857.91,174.57,3.99
1697884858.91,174.57,3.99
1697884859.91,174.57,3.99
