TICKS,Memoryper%
1697884974.09,34.70
1697884975.09,34.60
1697884976.09,34.50
1697884977.09,34.50
1697884978.09,34.50
1697884979.09,34.50
1697884980.10,34.40
1697884981.10,34.40
1697884982.10,34.40
1697884983.10,34.40
1697884984.10,34.40
1697884985.10,34.40
1697884986.11,34.40
1697884987.11,34.40
1697884988.11,34.40
1697884989.11,34.40
1697884990.11,34.40
1697884991.12,34.40
1697884992.12,34.40
1697884993.12,34.40
1697884994.12,34.40
1697884995.12,34.40
1697884996.12,34.40
1697884997.12,34.40
1697884998.13,34.40
1697884999.13,34.40
1697885000.13,34.40
1697885001.13,34.40
1697885002.13,34.40
1697885003.13,34.40
1697885004.14,34.40
1697885005.14,34.40
1697885006.14,34.40
1697885007.14,34.40
1697885008.14,34.40
1697885009.14,34.40
1697885010.15,34.40
1697885011.15,34.40
1697885012.15,34.40
1697885013.15,34.40
1697885014.15,34.40
1697885015.15,34.40
1697885016.16,34.40
1697885017.16,34.30
1697885018.16,34.30
1697885019.16,34.30
1697885020.16,34.30
1697885021.16,34.30
1697885022.17,34.30
1697885023.17,34.30
1697885024.17,34.30
1697885025.17,34.30
1697885026.17,34.30
1697885027.17,34.30
1697885028.17,34.30
1697885029.18,34.30
1697885030.18,34.30
1697885031.18,34.30
1697885032.18,34.30
1697885033.18,34.30
1697885034.18,34.30
1697885035.19,34.30
1697885036.19,34.30
1697885037.19,34.30
1697885038.19,34.30
1697885039.19,34.30
1697885040.19,34.30
1697885041.20,34.30
1697885042.20,34.30
1697885043.20,34.30
1697885044.20,34.30
1697885045.20,34.30
1697885046.20,34.30
1697885047.21,34.30
1697885048.21,34.30
1697885049.21,34.20
1697885050.21,34.20
1697885051.21,34.20
1697885052.21,34.20
1697885053.22,34.20
1697885054.22,34.20
1697885055.22,34.20
1697885056.22,34.20
1697885057.22,34.20
1697885058.22,34.20
1697885059.23,34.20
1697885060.23,34.20
1697885061.23,34.20
1697885062.23,34.20
1697885063.23,34.20
1697885064.24,34.20
1697885065.24,34.20
1697885066.24,34.20
1697885067.24,34.20
1697885068.24,34.20
1697885069.24,34.20
1697885070.24,34.20
1697885071.24,34.20
1697885072.25,34.20
1697885073.25,34.20
1697885074.25,34.30
1697885075.25,34.30
1697885076.25,34.30
1697885077.25,34.30
1697885078.25,34.30
1697885079.26,34.30
1697885080.26,34.30
1697885081.26,34.30
1697885082.26,34.30
1697885083.26,34.30
1697885084.26,34.30
1697885085.27,34.30
1697885086.27,34.30
1697885087.27,34.30
1697885088.27,34.30
1697885089.27,34.30
1697885090.27,34.30
1697885091.27,34.30
1697885092.28,34.30
1697885093.28,34.30
1697885094.28,34.30
1697885095.28,34.30
1697885096.28,34.30
1697885097.28,34.30
1697885098.29,34.30
1697885099.29,34.30
1697885100.29,34.30
1697885101.29,34.30
1697885102.29,34.30
1697885103.29,34.30
1697885104.29,34.30
1697885105.30,34.30
1697885106.30,34.30
1697885107.30,34.30
1697885108.30,34.30
1697885109.30,34.30
1697885110.30,34.40
1697885111.30,34.40
1697885112.31,34.40
1697885113.31,34.40
1697885114.31,34.40
1697885115.31,34.40
1697885116.31,34.40
1697885117.31,34.40
1697885118.32,34.40
1697885119.32,34.40
1697885120.32,34.40
1697885121.32,34.40
1697885122.32,34.40
1697885123.32,34.40
1697885124.33,34.40
1697885125.33,34.40
1697885126.33,34.40
1697885127.33,34.40
1697885128.33,34.30
1697885129.33,34.30
1697885130.33,34.30
1697885131.34,34.30
1697885132.34,34.30
1697885133.34,34.30
1697885134.34,34.30
1697885135.34,34.30
1697885136.34,34.30
1697885137.35,34.30
1697885138.35,34.30
1697885139.35,34.30
1697885140.35,34.30
1697885141.35,34.30
1697885142.36,34.30
1697885143.36,34.30
1697885144.36,34.30
1697885145.36,34.30
1697885146.36,34.30
1697885147.36,34.30
1697885148.36,34.30
1697885149.36,34.30
1697885150.37,34.30
1697885151.37,34.30
1697885152.37,34.30
1697885153.37,34.30
1697885154.37,34.30
1697885155.37,34.30
1697885156.37,34.30
1697885157.38,34.30
1697885158.38,34.30
1697885159.38,34.30
1697885160.38,34.30
1697885161.38,34.30
1697885162.38,34.30
1697885163.39,34.30
1697885164.39,34.30
1697885165.39,34.30
1697885166.39,34.30
1697885167.39,34.30
1697885168.39,34.30
1697885169.39,34.30
1697885170.40,34.30
1697885171.40,34.30
1697885172.40,34.30
1697885173.40,34.30
1697885174.40,34.30
1697885175.40,34.30
1697885176.41,34.30
1697885177.41,34.30
1697885178.41,34.30
1697885179.41,34.30
1697885180.41,34.30
1697885181.41,34.30
1697885182.42,34.30
1697885183.42,34.30
1697885184.42,34.30
1697885185.42,34.30
1697885186.42,34.30
1697885187.42,34.30
1697885188.42,34.30
1697885189.43,34.30
1697885190.43,34.30
1697885191.43,34.30
1697885192.43,34.30
1697885193.43,34.30
1697885194.43,34.30
1697885195.44,34.30
1697885196.44,34.30
1697885197.44,34.30
1697885198.44,34.30
1697885199.44,34.30
1697885200.44,34.30
1697885201.44,34.30
1697885202.45,34.30
1697885203.45,34.30
1697885204.45,34.30
1697885205.45,34.30
1697885206.45,34.30
1697885207.45,34.30
1697885208.46,34.30
1697885209.46,34.30
1697885210.46,34.30
1697885211.46,34.30
1697885212.46,34.30
1697885213.46,34.30
1697885214.47,34.30
1697885215.47,34.30
1697885216.47,34.30
1697885217.47,34.30
1697885218.47,34.30
1697885219.47,34.40
1697885220.47,34.40
1697885221.48,34.40
1697885222.48,34.40
1697885223.48,34.40
1697885224.48,34.40
1697885225.48,34.40
1697885226.48,34.40
1697885227.49,34.40
1697885228.49,34.40
