TICKS,CPU%,Memper%,Net_recv,Net_sent
1696905222.88,4.00,32.60,352.59,14.60
1696905224.38,12.00,32.40,352.59,14.60
1696905225.88,24.20,32.50,352.59,14.60
1696905227.38,4.00,32.50,352.59,14.60
1696905228.89,11.80,32.20,352.59,14.60
1696905230.39,0.00,32.40,352.59,14.60
1696905231.89,7.90,32.50,352.59,14.60
1696905233.39,7.80,32.50,352.59,14.60
1696905234.89,4.00,32.20,352.59,14.60
1696905236.40,0.00,32.30,352.59,14.60
1696905237.90,22.40,32.30,352.59,14.60
1696905239.40,4.00,32.30,352.59,14.60
1696905240.90,4.00,32.30,352.59,14.60
1696905242.41,0.00,32.30,352.59,14.60
1696905243.91,4.00,32.30,352.59,14.60
1696905245.41,0.00,32.30,352.59,14.60
1696905246.92,2.10,32.30,352.59,14.60
1696905248.42,6.00,32.30,352.59,14.60
1696905249.92,26.30,32.60,352.59,14.60
1696905251.42,0.00,32.60,352.59,14.60
1696905252.92,6.00,32.30,352.59,14.60
1696905254.43,6.00,32.40,352.59,14.60
1696905255.93,5.90,32.40,352.59,14.60
1696905257.43,0.00,32.40,352.59,14.60
1696905258.94,7.80,32.40,352.59,14.60
1696905260.44,0.00,32.40,352.59,14.60
1696905261.94,24.40,32.60,352.59,14.60
1696905263.44,9.80,32.20,352.59,14.60
1696905264.95,6.00,32.40,352.59,14.60
1696905266.45,0.00,32.40,352.59,14.60
1696905267.95,4.00,32.40,352.59,14.60
1696905269.46,4.00,32.20,352.59,14.60
1696905270.96,7.90,32.30,352.59,14.60
1696905272.46,0.00,32.30,352.59,14.60
1696905273.96,22.20,32.40,352.59,14.60
1696905275.47,0.00,32.20,352.59,14.60
1696905276.97,9.80,32.30,352.59,14.60
1696905278.47,10.00,32.30,352.59,14.60
1696905279.97,7.90,32.40,352.59,14.60
1696905281.47,2.00,32.40,352.59,14.60
1696905282.98,5.90,32.40,352.59,14.60
1696905284.48,4.00,32.40,352.59,14.60
1696905285.98,24.40,32.40,352.59,14.60
1696905287.48,0.00,32.40,352.59,14.60
1696905288.99,5.90,32.40,352.59,14.60
1696905290.49,0.00,32.40,352.59,14.60
1696905291.99,4.00,32.40,352.59,14.60
1696905293.49,8.00,32.40,352.59,14.60
1696905295.00,2.00,32.40,352.59,14.60
1696905296.50,0.00,32.40,352.59,14.60
1696905298.00,22.40,32.20,352.59,14.60
1696905299.50,6.00,32.30,352.59,14.60
1696905301.01,2.00,32.30,352.59,14.60
1696905302.51,0.00,32.30,352.59,14.60
1696905304.01,8.00,32.30,352.59,14.60
1696905305.51,0.00,32.40,352.59,14.60
1696905307.01,4.00,32.10,352.59,14.60
1696905308.52,8.00,32.20,352.59,14.60
1696905310.02,22.50,32.30,352.59,14.60
1696905311.52,0.00,32.40,352.59,14.60
1696905313.02,4.00,32.40,352.59,14.60
1696905314.53,4.00,32.40,352.59,14.60
1696905316.03,9.70,32.40,352.59,14.60
1696905317.53,0.00,32.50,352.59,14.60
1696905319.03,4.10,32.50,352.59,14.60
1696905320.53,0.00,32.50,352.59,14.60
1696905322.04,26.00,32.20,352.59,14.60
1696905323.54,6.20,32.30,352.59,14.60
1696905325.04,2.10,32.30,352.59,14.60
1696905326.54,0.00,32.30,352.59,14.60
1696905328.05,6.00,32.10,352.59,14.60
1696905329.55,3.90,32.20,352.59,14.60
1696905331.05,6.00,32.30,352.59,14.60
1696905332.55,0.00,32.30,352.59,14.60
1696905334.06,24.10,32.30,352.59,14.60
1696905335.56,0.00,32.30,352.59,14.60
1696905337.06,4.00,32.30,352.59,14.60
1696905338.56,5.90,32.40,352.59,14.60
1696905340.07,2.00,32.20,352.59,14.60
1696905341.57,0.00,32.20,352.59,14.60
1696905343.07,8.10,32.30,352.59,14.60
1696905344.57,5.90,32.30,352.59,14.60
1696905346.08,24.40,32.50,352.59,14.60
1696905347.58,2.00,32.50,352.59,14.60
1696905349.08,6.00,32.50,352.59,14.60
1696905350.58,0.00,32.50,352.59,14.60
1696905352.09,4.00,32.50,352.59,14.60
1696905353.59,4.00,32.50,352.59,14.60
1696905355.09,4.00,32.50,352.59,14.60
1696905356.59,2.00,32.20,352.59,14.60
1696905358.10,30.90,32.30,352.59,14.60
1696905359.60,4.00,32.30,352.59,14.60
1696905361.10,4.00,32.40,352.59,14.60
1696905362.61,0.00,32.40,352.59,14.60
1696905364.11,8.10,32.40,352.59,14.60
1696905365.61,0.00,32.40,352.59,14.60
1696905367.11,7.80,32.40,352.59,14.60
1696905368.62,0.00,32.40,352.59,14.60
1696905370.12,24.20,32.50,352.59,14.60
1696905371.62,0.00,32.50,352.59,14.60
1696905373.12,13.90,32.30,352.59,14.60
1696905374.63,0.00,32.30,352.59,14.60
1696905376.13,4.00,32.40,352.59,14.60
1696905377.63,0.00,32.40,352.59,14.60
1696905379.13,9.90,32.40,352.59,14.60
1696905380.64,0.00,32.40,352.59,14.60
1696905382.14,22.40,32.40,352.59,14.60
1696905383.64,2.00,32.10,352.59,14.60
1696905385.14,4.00,32.20,352.59,14.60
1696905386.65,0.00,32.30,352.59,14.60
1696905388.15,14.00,32.30,352.59,14.60
1696905389.65,0.00,32.40,352.59,14.60
1696905391.15,4.00,32.40,352.59,14.60
1696905392.66,0.00,32.40,352.59,14.60
1696905394.16,23.40,32.50,352.59,14.60
1696905395.66,0.00,32.50,352.59,14.60
1696905397.17,4.00,32.20,352.59,14.60
1696905398.67,0.00,32.20,352.59,14.60
1696905400.17,2.00,32.30,352.59,14.60
1696905401.67,0.00,32.30,352.59,14.60
1696905403.18,10.10,32.40,352.59,14.60
1696905404.68,0.00,32.40,352.59,14.60
1696905406.18,28.20,32.50,352.59,14.60
1696905407.68,0.00,32.50,352.59,14.60
1696905409.19,6.10,32.60,352.59,14.60
1696905410.69,0.00,32.60,352.59,14.60
